datetime,username,tweet,tweet_cleaned
2022-11-25 11:33:07+00:00,CakraWikara,"Tahun ini, tema 16 HAKTP di Indonesia adalah “Ciptakan Ruang Aman, Kenali UU TPKS” dengan tagline “Satu Suara untuk UU TPKS”. Kampanya ini bertujuan untuk memperkenalkan UU TPKS serta mengawal implementasi UU TPKS sebagai payung hukum perlindungan korban kekerasan seksual. https://t.co/5KHhBoGfrN",tahun ini  tema    haktp di indonesia adalah  ciptakan ruang aman  kenali uu tpks  dengan tagline  satu suara untuk uu tpks   kampanya ini bertujuan untuk memperkenalkan uu tpks serta mengawal implementasi uu tpks sebagai payung hukum perlindungan korban kekerasan seksual  
2022-11-25 11:28:09+00:00,PewartaSatu,"Menaker menyebut, Kupi telah berhasil menunjukkan peran setrategisnya selama mengadvokasi UU TPKS. - https://t.co/OD6cdGiq0a",menaker menyebut  kupi telah berhasil menunjukkan peran setrategisnya selama mengadvokasi uu tpks    
2022-11-25 11:26:00+00:00,article_33,Urgensi dan tujuan UU No. 12 Tahun 2022 TPKS. https://t.co/owsasP22JP,urgensi dan tujuan uu no     tahun      tpks  
2022-11-25 10:42:59+00:00,KomnasPerempuan,"Kampanye 16 HAKTP yang dimulai hari ini fokus mendorong implementasi UU TPKS secara maksimal, agar kita aman dan terlindungi dari kekerasan seksual. 

Lihat kampanye 16 HAKTP di berbagai daerah oleh lintas usia dan sektor di https://t.co/Ze6lexulq5. https://t.co/Tz8ERFur5d",kampanye    haktp yang dimulai hari ini fokus mendorong implementasi uu tpks secara maksimal  agar kita aman dan terlindungi dari kekerasan seksual    lihat kampanye    haktp di berbagai daerah oleh lintas usia dan sektor di  
2022-11-25 10:36:42+00:00,TirtoID,"⚠️TW // kekerasan seksual⚠️

Simak riset Tirto untuk mengetahui persepsi masyarakat terhadap UU TPKS dan apakah masyarakat memiliki kepercayaan yang lebih besar dan dasar yang lebih kuat untuk melaporkan kasus kekerasan seksual. #PeriksaData

https://t.co/FD8nPDbTsu",  tw    kekerasan seksual    simak riset tirto untuk mengetahui persepsi masyarakat terhadap uu tpks dan apakah masyarakat memiliki kepercayaan yang lebih besar dan dasar yang lebih kuat untuk melaporkan kasus kekerasan seksual    
2022-11-25 09:45:41+00:00,_infoindonesia,"Komnas Perempuan: Implementasi UU TPKS Sangat Penting
@KomnasHAM @KomnasPerempuan @AndyYentri @kpp_pa @DPR_RI @Kemenkumham_RI 

https://t.co/Bi8WUDlHYy",komnas perempuan  implementasi uu tpks sangat penting     
2022-11-25 09:34:49+00:00,garnesian,"PERINGATAN: Artikel ini mengandung konten eksplisit yang dapat memicu trauma bagi penyintas kekerasan seksual.

Di November ini, kami membuat survei mengenai persepsi masyarakat mengenai UU TPKS dan intensi utk melapor KS. https://t.co/CHhE9ZLwqf",peringatan  artikel ini mengandung konten eksplisit yang dapat memicu trauma bagi penyintas kekerasan seksual   di november ini  kami membuat survei mengenai persepsi masyarakat mengenai uu tpks dan intensi utk melapor ks  
2022-11-25 09:14:05+00:00,beritaKBR,"Banyak korban pelecehan &amp; kekerasan seksual akhirnya memilih diam &amp; tak berdaya saat melaporkan krn seringkali berakhir pada kekecewaan.

UU TPKS pun disahkan.

Apakah ini jawabannya?
https://t.co/G5GrZ84j3u

#SatuSuaraMelawanKekerasanTerhadapPerempuan #PodcastIndonesia #16HAKTP https://t.co/k5rzNTSHPd",banyak korban pelecehan  amp  kekerasan seksual akhirnya memilih diam  amp  tak berdaya saat melaporkan krn seringkali berakhir pada kekecewaan   uu tpks pun disahkan   apakah ini jawabannya      
2022-11-25 06:24:29+00:00,PBHI_Nasional,"kekerasan berbasis gender yang masih begitu marak terjadi.
Meskipun sudah ada UU TPKS, ternyata tidak menjamin perempuan mendapatkan ruang hidup yang aman.
Belum adanya UU TPKS digunakan dalam implementasi kasus-kasus kekerasan terhadap perempuan menjadi sorotan khusus bahwa",kekerasan berbasis gender yang masih begitu marak terjadi  meskipun sudah ada uu tpks  ternyata tidak menjamin perempuan mendapatkan ruang hidup yang aman  belum adanya uu tpks digunakan dalam implementasi kasus kasus kekerasan terhadap perempuan menjadi sorotan khusus bahwa
2022-11-25 06:11:59+00:00,indonesia_kupi,"Walaupun UU TPKS sudah sah tapi kita masih melanjutkan gerakan sosialisasi&amp;mengawal implementasinya.

Salah satu kekerasan seksual sering dijustifikasi berdasarkan agama. Seperti pemaksaan perkawinan&amp; memaksa korban menikah dengan pelaku.

Rekomendasi fatwa KUPI sangat ditunggu.",walaupun uu tpks sudah sah tapi kita masih melanjutkan gerakan sosialisasi amp mengawal implementasinya   salah satu kekerasan seksual sering dijustifikasi berdasarkan agama  seperti pemaksaan perkawinan amp  memaksa korban menikah dengan pelaku   rekomendasi fatwa kupi sangat ditunggu 
2022-11-25 04:58:00+00:00,ikandory28,"Meskipun Undang-Undang Nomor 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual (UU TPKS) sudah disahkan, namun bukan berarti perjuangan kita selesai sampai sini",meskipun undang undang nomor    tahun      tentang tindak pidana kekerasan seksual  uu tpks  sudah disahkan  namun bukan berarti perjuangan kita selesai sampai sini
2022-11-25 04:47:11+00:00,dppappdki,"Mari bersama-sama kita ciptakan ruang aman, kenali UU TPKS dan Stop tindak kekerasan terhadap perempuan dan anak !

#kampayeantikekerasan
#stopkekerasan
#jakartaramahperempuan
#jakartapedulianak
#dppappdki
#dkijakarta",mari bersama sama kita ciptakan ruang aman  kenali uu tpks dan stop tindak kekerasan terhadap perempuan dan anak         
2022-11-25 04:02:37+00:00,KomnasPerempuan,"Kolaborasi Komnas Perempuan dan KUPI dalam Kongres Ke-2 bertujuan untuk mendukung peran dan kiprah ulama perempuan, mengawal isu-isu krusial terkait kerja Komnas Perempuan dan memantau keterlibatan mitra dalam isu tersebut, serta mengkampanyekan implementasi UU TPKS. https://t.co/2r76ovguSA",kolaborasi komnas perempuan dan kupi dalam kongres ke   bertujuan untuk mendukung peran dan kiprah ulama perempuan  mengawal isu isu krusial terkait kerja komnas perempuan dan memantau keterlibatan mitra dalam isu tersebut  serta mengkampanyekan implementasi uu tpks  
2022-11-25 03:14:03+00:00,jurnalperempuan,"(2)

Kini kita memiliki UU TPKS yang dapat mencegah, melindungi, &amp; memulihkan korban. Kampanye 16 HAKTP tahun ini mendorong kita kenali UU TPKS sbg instrumen hukum berperspektif korban.

Mari ciptakan ruang aman &amp; kenali UU TPKS!

#kenaliuutpks
#satusuarauutpks
#kawalsetelahlegal https://t.co/OgjNlCEGLd",     kini kita memiliki uu tpks yang dapat mencegah  melindungi   amp  memulihkan korban  kampanye    haktp tahun ini mendorong kita kenali uu tpks sbg instrumen hukum berperspektif korban   mari ciptakan ruang aman  amp  kenali uu tpks      
2022-11-24 13:46:57+00:00,GUSDURians,"Sambutan ketua panitia #KUPI2022 oleh Nyai Hj. Masruchah.

""Pandangan keagamaan KUPI menjadi landasan dan pertimbangan parlemen dalam mengesahkan beberapa peraturan, seperti disahkannya UU TPKS."" https://t.co/VJntD3sV3A",sambutan ketua panitia  oleh nyai hj  masruchah    pandangan keagamaan kupi menjadi landasan dan pertimbangan parlemen dalam mengesahkan beberapa peraturan  seperti disahkannya uu tpks   
2022-11-24 08:51:12+00:00,LBHAPIK,"Alerta‼️
RKUHP RAWAN DISAHKAN HARI INI.

Hai #SahabatAPIK ,
Hari ini RUU KUHP sedang dibahas di Parlemen dan Rawan akan disahkan. Padahal Ketika UU TPKS disahkan, pasal mengenai perkosaan dihilangkan dengan alasan akan dibahas dalam RUU KUHP. https://t.co/LaqCQIwZbC",alerta   rkuhp rawan disahkan hari ini   hai    hari ini ruu kuhp sedang dibahas di parlemen dan rawan akan disahkan  padahal ketika uu tpks disahkan  pasal mengenai perkosaan dihilangkan dengan alasan akan dibahas dalam ruu kuhp  
2022-11-24 01:19:40+00:00,redaksimetrokal,Srikandi DPRD Ini Sambut Positif Sosialisasi UU TPKS di Kapuas https://t.co/ya78aKT8IT #berita #metro #beritakalimantan #beritaterkini https://t.co/u0M1wNIPab,srikandi dprd ini sambut positif sosialisasi uu tpks di kapuas  
2022-11-23 15:37:21+00:00,debordsbitch,Lah kan uu tpks sm permendikbud uda disahin? Gmn si? @raymndjo,lah kan uu tpks sm permendikbud uda disahin  gmn si  
2022-11-23 12:49:24+00:00,KomnasPerempuan,"Dengan memuat 6 elemen kunci penghapusan kekerasan seksual, UU TPKS diharapkan dapat mengatasi beragam tantangan dan hambatan korban untuk mendapatkan hak atas keadilan, penanganan &amp; pemulihan. Saatnya kini kita memastikan UU TPKS diterapkan dan bermanfaat bagi korban.",dengan memuat   elemen kunci penghapusan kekerasan seksual  uu tpks diharapkan dapat mengatasi beragam tantangan dan hambatan korban untuk mendapatkan hak atas keadilan  penanganan  amp  pemulihan  saatnya kini kita memastikan uu tpks diterapkan dan bermanfaat bagi korban 
2022-11-23 12:49:23+00:00,KomnasPerempuan,"Tahun 2022 adalah tahun bersejarah bagi gerakan penghapusan kekerasan terhadap perempuan, khususnya kekerasan seksual di Indonesia. Setelah 12 tahun, upaya menghadirkan payung hukum yang lebih baik untuk mencegah dan menangani kekerasan seksual berbuah UU TPKS.",tahun      adalah tahun bersejarah bagi gerakan penghapusan kekerasan terhadap perempuan  khususnya kekerasan seksual di indonesia  setelah    tahun  upaya menghadirkan payung hukum yang lebih baik untuk mencegah dan menangani kekerasan seksual berbuah uu tpks 
2022-11-23 12:27:42+00:00,kompascom,Komnas Perempuan sebut keberadan UU TPKS semakin mendorong korban kekerasan seksual untuk melaporkan apa yang dialaminya https://t.co/EHbOUyZ81Y,komnas perempuan sebut keberadan uu tpks semakin mendorong korban kekerasan seksual untuk melaporkan apa yang dialaminya 
2022-11-23 10:48:09+00:00,idntimes,Kampanye 16 Hari Anti Kekerasan Perempuan Suarakan UU TPKS https://t.co/zWW1REo8jY,kampanye    hari anti kekerasan perempuan suarakan uu tpks 
2022-11-23 09:46:50+00:00,barbareto_com,"Kasus Kekerasan Seksual Anak Rentan Terjadi di Lombok Timur, UU TPKS Disoal - BARBARETO https://t.co/JjFK79wZPG",kasus kekerasan seksual anak rentan terjadi di lombok timur  uu tpks disoal   barbareto 
2022-11-23 02:36:53+00:00,ditjenkesmas,"Berdasarkan UU No. 12 tahun 2022 tentang Tindak Pidana Kekerasan Seksual (TPKS), sektor kesehatan berperan penting dalam upaya pemenuhan hak pelayanan kesehatan bagi korban Kekerasan Terhadap Perempuan dan Anak (KtP/A).
https://t.co/1vQfJC6Dp3…

#ditjenkesmas https://t.co/7kSfArGpKU",berdasarkan uu no     tahun      tentang tindak pidana kekerasan seksual  tpks   sektor kesehatan berperan penting dalam upaya pemenuhan hak pelayanan kesehatan bagi korban kekerasan terhadap perempuan dan anak  ktp a      
2022-11-23 01:04:12+00:00,PortalBontang,"UU TPKS Terbit, Kepala DKP3A Kaltim Harap Korban Berani Lapor https://t.co/d9454HincT",uu tpks terbit  kepala dkp a kaltim harap korban berani lapor 
2022-11-23 00:48:44+00:00,PortalBontang,DKP3A Kaltim Sosialisasikan UU TPKS Mulai Awal Desember 2022 https://t.co/3n78ZuzA89,dkp a kaltim sosialisasikan uu tpks mulai awal desember      
2022-11-22 14:33:34+00:00,endang_yl,"Serikat Buruh Perempuan Bekasi, lembaga donor, maupun perwakilan ILO Jakarta termasuk Institut Sarinah. 

Insitut Sarinah sepakat dengan Komnasper bahwa beberapa UU untuk kesetaraan gender misalnya UU TPKS dan kelak RUU PPRT akan lebih efektif jika",serikat buruh perempuan bekasi  lembaga donor  maupun perwakilan ilo jakarta termasuk institut sarinah    insitut sarinah sepakat dengan komnasper bahwa beberapa uu untuk kesetaraan gender misalnya uu tpks dan kelak ruu pprt akan lebih efektif jika
2022-11-22 11:41:48+00:00,IFI_Indonesia,"IFI dan UN Women Kembali mengadakan diskusi publik dalam rangka 16 HAKTP &amp; akan membawa visibilitas terhadap pelaksanaan UU TPKS di masyarakat Indonesia, baik di tingkat pemangku kepentingan hingga khalayak umum.

Daftarkan dirimu melalui: https://t.co/jCgdX9yUSY 
Sampai jumpa! https://t.co/SjWOefIfXX",ifi dan un women kembali mengadakan diskusi publik dalam rangka    haktp  amp  akan membawa visibilitas terhadap pelaksanaan uu tpks di masyarakat indonesia  baik di tingkat pemangku kepentingan hingga khalayak umum   daftarkan dirimu melalui    sampai jumpa  
2022-11-22 05:05:47+00:00,CiputPurwianti,@GiyantoWiyono @mohmahfudmd @pejabrut Sepakat Pak. Bravo pak Menko Polhukam. Keadilan bagi korban harus ditegakkan sesuai Amanat UU TPKS.,  sepakat pak  bravo pak menko polhukam  keadilan bagi korban harus ditegakkan sesuai amanat uu tpks 
2022-11-22 01:23:41+00:00,ginatob29,"Pak @mohmahfudmd klw melihat kasus pelecehan sex anak yg makin marak di Indonesia 
Kena dlm implementasi RUU KUHP dan UU tpks sll ga pernah adaa terhdp korban .dan klw boleh Suarakan kampanye pembelajaran sex dong pak .",pak  klw melihat kasus pelecehan sex anak yg makin marak di indonesia  kena dlm implementasi ruu kuhp dan uu tpks sll ga pernah adaa terhdp korban  dan klw boleh suarakan kampanye pembelajaran sex dong pak  
2022-11-22 01:04:15+00:00,poskupangcom,"Penanganan Kasus Perempuan dan Anak Belum Dapat Terapkan UU TPKS
 
https://t.co/MFvTyNB4Mr lewat @tribunnews",penanganan kasus perempuan dan anak belum dapat terapkan uu tpks    lewat 
2022-11-21 15:41:53+00:00,Iskak22iskak1,"Puan Maharani mendorong terbentuknya Satgas Anti Kekerasan Seksual yang dapat dikatakan sejalan dengan UU TPKS, tidak hanya sekadar mengatur soal pemulihan, penanganan, dan penyelesaian kasus kekerasan seksual https://t.co/jX1hvZlp84 Puan Tetap CapresPDIP",puan maharani mendorong terbentuknya satgas anti kekerasan seksual yang dapat dikatakan sejalan dengan uu tpks  tidak hanya sekadar mengatur soal pemulihan  penanganan  dan penyelesaian kasus kekerasan seksual  puan tetap caprespdip
2022-11-21 12:09:41+00:00,izhy_fly,"Puan Maharani mendorong terbentuknya Satgas Anti Kekerasan Seksual yang dapat dikatakan sejalan dengan UU TPKS, tidak hanya sekadar mengatur soal pemulihan, penanganan, dan penyelesaian kasus kekerasan seksual https://t.co/NeSF0HwsAr Puan Tetap CapresPDIP",puan maharani mendorong terbentuknya satgas anti kekerasan seksual yang dapat dikatakan sejalan dengan uu tpks  tidak hanya sekadar mengatur soal pemulihan  penanganan  dan penyelesaian kasus kekerasan seksual  puan tetap caprespdip
2022-11-21 08:00:01+00:00,golkar24kaltara,"UU TPKS JADI PERLINDUNGAN SELURUH RAKYAT INDONESIA

Kekerasan seksual masih marak terjadi di Indonesia. Maka dari itu, penting untuk memiliki payung hukum untuk melindungi masyarakat, khususnya para perempuan dan anak-anak di Indonesia.

#uutpks #kekerasanseksual #golkar2024 https://t.co/LaV1nNpweE",uu tpks jadi perlindungan seluruh rakyat indonesia  kekerasan seksual masih marak terjadi di indonesia  maka dari itu  penting untuk memiliki payung hukum untuk melindungi masyarakat  khususnya para perempuan dan anak anak di indonesia     
2022-11-21 08:00:00+00:00,g24bengkulu,"UU TPKS JADI PERLINDUNGAN SELURUH RAKYAT INDONESIA

Kekerasan seksual masih marak terjadi di Indonesia. Maka dari itu, penting untuk memiliki payung hukum untuk melindungi masyarakat, khususnya para perempuan dan anak-anak di Indonesia.

#uutpks #kekerasanseksual #golkar2024 https://t.co/iFdOhHHbC4",uu tpks jadi perlindungan seluruh rakyat indonesia  kekerasan seksual masih marak terjadi di indonesia  maka dari itu  penting untuk memiliki payung hukum untuk melindungi masyarakat  khususnya para perempuan dan anak anak di indonesia     
2022-11-21 08:00:00+00:00,G24Golkarbabel,"UU TPKS JADI PERLINDUNGAN SELURUH RAKYAT INDONESIA

Kekerasan seksual masih marak terjadi di Indonesia. Maka dari itu, penting untuk memiliki payung hukum untuk melindungi masyarakat, khususnya para perempuan dan anak-anak di Indonesia.

#uutpks #kekerasanseksual #golkar2024 https://t.co/Gz7moeFGrl",uu tpks jadi perlindungan seluruh rakyat indonesia  kekerasan seksual masih marak terjadi di indonesia  maka dari itu  penting untuk memiliki payung hukum untuk melindungi masyarakat  khususnya para perempuan dan anak anak di indonesia     
2022-11-21 06:16:47+00:00,Shamr00g,"@aslinaAnthiq @TS1Crew Virtual gimana ya teh?
Itu teteh yg ngalamin secara langsung?

Pasal 281 kuhp bisa - ancaman 
Pasal 5 uu tpks bisa - ancaman 9 bln

Kalo gasalah semua delik aduan, jd baiknya melaporkan ke yg brwajib kak kalo ada yg dirugikan

Cmiiw

🙏🏻",  virtual gimana ya teh  itu teteh yg ngalamin secara langsung   pasal     kuhp bisa   ancaman  pasal   uu tpks bisa   ancaman   bln  kalo gasalah semua delik aduan  jd baiknya melaporkan ke yg brwajib kak kalo ada yg dirugikan  cmiiw    
2022-11-21 06:00:01+00:00,golkar2024jambi,"UU TPKS JADI PERLINDUNGAN SELURUH RAKYAT INDONESIA
Kekerasan seksual masih marak terjadi di Indonesia. Maka dari itu, penting untuk memiliki payung hukum untuk melindungi masyarakat, khususnya para perempuan dan anak-anak di Indonesia.

#uutpks #kekerasanseksual #golkar2024 https://t.co/yk7lYGzER5",uu tpks jadi perlindungan seluruh rakyat indonesia kekerasan seksual masih marak terjadi di indonesia  maka dari itu  penting untuk memiliki payung hukum untuk melindungi masyarakat  khususnya para perempuan dan anak anak di indonesia     
2022-11-21 04:15:45+00:00,humasrestaput,"UU TPKS Disahkan, Polri Dorong Pembentukan PPA Dipercepat

https://t.co/QnbqvWEHFx https://t.co/ShgcDFa8Ho",uu tpks disahkan  polri dorong pembentukan ppa dipercepat   
2022-11-20 11:36:32+00:00,icatwps,"POTONG BIJI PREDATOR ANAK!  
Menteri PPPA: UU TPKS Lebih Kuat Cegah Kekerasan Seksual Anak 

https://t.co/lFm2LzEWXx 

@kpp_pa",potong biji predator anak    menteri ppa  uu tpks lebih kuat cegah kekerasan seksual anak      
2022-11-19 13:01:05+00:00,bergeloralah,POTONG BIJI PREDATOR ANAK…! Menteri PPPA: UU TPKS Lebih Kuat Cegah Kekerasan Seksual Anak https://t.co/qnFFF7wfRs,potong biji predator anak   menteri ppa  uu tpks lebih kuat cegah kekerasan seksual anak 
2022-11-19 12:12:44+00:00,RAWCC,"Hallo Sobat Rifka✨
Beberapa hari lagi kita akan memperingati 16 Hari Anti Kekerasan Terhadap Perempuan.
16 HAKTP tahun ini bertema ""Ciptakan Ruang Aman, Kenali UU TPKS"".
Yuk, bersama bergerak ciptakan ruang aman dilingkungan terdekat kita!

#rifkaannisawcc #nonviolence #16haktp https://t.co/L0Afgvr8nT",hallo sobat rifka  beberapa hari lagi kita akan memperingati    hari anti kekerasan terhadap perempuan     haktp tahun ini bertema  ciptakan ruang aman  kenali uu tpks   yuk  bersama bergerak ciptakan ruang aman dilingkungan terdekat kita     
2022-11-19 11:57:33+00:00,mediaindonesia,"Dengan adanya peraturan pelaksana UU TPKS hingga lembaga layanan, penanganan dan perlindungan terhadap korban kekerasan seksual bisa dilakukan lebih optimal.  https://t.co/Ak0Dv4OmhQ",dengan adanya peraturan pelaksana uu tpks hingga lembaga layanan  penanganan dan perlindungan terhadap korban kekerasan seksual bisa dilakukan lebih optimal   
2022-11-19 09:15:55+00:00,medcom_id,Komnas Perempuan Minta Implementasi UU TPKS Lebih Maksimal di 2023 https://t.co/xnK2G6pNjh,komnas perempuan minta implementasi uu tpks lebih maksimal di      
2022-11-18 21:22:34+00:00,merdekadotcom,Menteri PPPA: UU TPKS Lebih Kuat Cegah Kekerasan Seksual Anak https://t.co/oIsJi1NJMK,menteri ppa  uu tpks lebih kuat cegah kekerasan seksual anak 
2022-11-18 21:13:33+00:00,21BeritaTerkini,Menteri PPPA: UU TPKS Lebih Kuat Cegah Kekerasan Seksual Anak https://t.co/6r99DQszLG,menteri ppa  uu tpks lebih kuat cegah kekerasan seksual anak 
2022-11-18 05:48:21+00:00,rtwdhyrhrj,"@moyakolvist @fajarnugros Kalo emg gak ada hasilnya, UU TPKS sampe skrg psti belum disahkan juga",  kalo emg gak ada hasilnya  uu tpks sampe skrg psti belum disahkan juga
2022-11-17 09:44:07+00:00,adwitzzz,"@chilllllll15 @ItsTama__ @madwomanru @aalifrizky @pengwinningg Mba keberhasilan yg dilakulan pemerintah ambil contoh UU TPKS deh, itu sering banget diapresiasi oleh banyak lembaga. Tapi pelaksanaan? Itu yg tetep dikawal. Pengesahan terus diapresiasi setahun apa pelaksanaannya langsung oke? Kan gak. Tuntuntan masif di sini yg mana ya? https://t.co/oRggs93R4s",  mba keberhasilan yg dilakulan pemerintah ambil contoh uu tpks deh  itu sering banget diapresiasi oleh banyak lembaga  tapi pelaksanaan  itu yg tetep dikawal  pengesahan terus diapresiasi setahun apa pelaksanaannya langsung oke  kan gak  tuntuntan masif di sini yg mana ya  
2022-11-17 09:27:24+00:00,adwitzzz,"@chilllllll15 @ItsTama__ @madwomanru @aalifrizky @pengwinningg Kuasa yg dimiliki orba dengan feminis aja beda mba. Ya ampun pengakuan itu mah sering kali mba, ya contoh nyata apresiasi besar tahun ini tuh UU TPKS sering banget dibahas. Emang mau sediapresiasi gimana. Setelah penatapan itu ya tetep butuh follow up dong penegakan dll",  kuasa yg dimiliki orba dengan feminis aja beda mba  ya ampun pengakuan itu mah sering kali mba  ya contoh nyata apresiasi besar tahun ini tuh uu tpks sering banget dibahas  emang mau sediapresiasi gimana  setelah penatapan itu ya tetep butuh follow up dong penegakan dll
2022-11-17 07:36:23+00:00,adwitzzz,"@chilllllll15 @ItsTama__ @madwomanru @aalifrizky @pengwinningg Dan ya balik lg ka, apresiasi gimana kalau kebijakan gk merata. Di daerah pelayanan terhadap kasus kekerasan perempuan msh buruk, apa yg diapresiasi? Terkait kebijakan UU TPKS udh terbentuk diapresiasi, tpi pelaksanaannya gimana? Kan perlu diperhatikan, gak perkara apresiasi aja",  dan ya balik lg ka  apresiasi gimana kalau kebijakan gk merata  di daerah pelayanan terhadap kasus kekerasan perempuan msh buruk  apa yg diapresiasi  terkait kebijakan uu tpks udh terbentuk diapresiasi  tpi pelaksanaannya gimana  kan perlu diperhatikan  gak perkara apresiasi aja
2022-11-17 07:22:19+00:00,banghaaan,"@manusiagenerik @Bertahanhldup @aalifrizky @mainaccmine @pengwinningg Source : Wikipedia 🤣 
Yg butthurt ya feminazi macam anda ini yang mau menang sendiri 🤣 jabatan politik presiden dan mentri udah ada, upah juga udah, ngurus sertif tanah juga bisa, pendidikan dan karir sudah saya sebutkan pelecehan seksual udah ada uu tpks. Mau apa lagi? 😂",  source   wikipedia    yg butthurt ya feminazi macam anda ini yang mau menang sendiri   jabatan politik presiden dan mentri udah ada  upah juga udah  ngurus sertif tanah juga bisa  pendidikan dan karir sudah saya sebutkan pelecehan seksual udah ada uu tpks  mau apa lagi   
2022-11-17 05:43:32+00:00,biasmemilihaku,"Padahal ada UU TPKS loh... tapi kalau masih ada yang beginian, ya UU yang udah disahkan dengan dana gak sedikit itu akan sia2 hasilnya",padahal ada uu tpks loh   tapi kalau masih ada yang beginian  ya uu yang udah disahkan dengan dana gak sedikit itu akan sia  hasilnya
2022-11-17 05:42:53+00:00,tehlecihangat,@Askrlfess kita harus aduin cewek ini pake UUTPKS. bahaya ini kl dibiarin pelecehan spt ini, kita harus aduin cewek ini pake uutpks  bahaya ini kl dibiarin pelecehan spt ini
